conversation_id,utterance_id,speaker,text,saliency
742555640001,0,agent,"May I know your name, please?",
742555640001,1,customer,"Uh yes, my name is {full_name:***** ****}.",
742555640001,2,agent,", {first_name:*****}. How's your day going, {first_name:*****}",
742555640001,3,customer,It's going good. Thank you for asking.,
742555640001,4,agent,That's great. So how can I help you?,
742555640001,5,agent,mhm.,
742555640001,6,customer,"Uh yes, sir. I'm a new Raven member and I was a veteran. So I got Superman, but for the 1st three months, they gave me like Superman and some other channels for free.",Reason for Contact
742555640001,7,agent,mhm.,
742555640001,8,agent,"Yes, sir.",
742555640001,9,customer,"That has to be canceled by the 23rd. It had a reminder on my my television uh so I wanted to make sure. Yeah, I wanted to go ahead and cancel that today promo all the free promo channels are. However, you say that.",Reason for Contact
742555640001,10,customer,Okay.,
742555640001,11,agent,"Okay, let okay, let me just assist you with that. Um.",
742555640001,12,agent,So are you referring for the Spiderman Pack.,Resolution Process
742555640001,13,agent,", Superman, Spiderman and Raven Movie Pack.",Resolution Process
742555640001,14,customer,I get I'm gonna get Superman anyway because I'm a veteran.,Resolution Process
742555640001,15,customer,That will be free.,Resolution Process
742555640001,16,agent,Okay.,
742555640001,17,customer,But all the rest I need to cancel.,Resolution Process
742555640001,18,agent,"Okay, so I'll I'll just um cancel.",Resolution Process
742555640001,19,agent,The three remaining and keep the Superman,Resolution Process
742555640001,20,customer,"Right, the Superman cause I have that Spiderman Package or whatever to the great deal. By the way, thank you.",Resolution Process
742555640001,21,customer,And.,
742555640001,22,agent,"Yeah, so I am just.",
742555640001,23,customer,"Yep, and they.",
742555640001,24,agent,"I'm just gonna keep the Spiderman, mhm.",Resolution Process
742555640001,25,customer,"Right to cancel all the right, you can cancel the other, and they still have my Spiderman being free, correct?",Resolution Process
742555640001,26,agent,"Yes, sir.",Resolution Process
742555640001,27,agent,Okay.,
742555640001,28,customer,"Oh, that's awesome, man. I appreciate it, and do do you have my email?",Resolution Process
742555640001,29,agent,"Okay, hold on sir. Let me just process this one. 1st.",Resolution Process
742555640001,30,customer,Okay.,
742555640001,31,agent,So I can I can see.,
742555640001,32,agent,"Um that, okay? Hold on.",
742555640001,33,agent,me just process it real quick.,Resolution Process
742555640001,34,agent,And do you asking me if do you have the email.,Resolution Process
742555640001,35,agent,mhm.,
742555640001,36,customer,"Right, and the the reason I'm asking is uh Thor and I know you guys have been good. Thor kinda burned me on all this stuff, and I just wanted like a notice that said I canceled.",Resolution Process
742555640001,37,agent,"mhm okay, sir. Hold on.",
742555640001,38,agent,"Yes, sir. As I can see here you have your email address here.",Resolution Process
742555640001,39,agent,So.,
742555640001,40,agent,Hold on.,
742555640001,41,agent,"Okay, so I already accessed it, sir. Anything else I can help you?",Result
742555640001,42,customer,Nope. Thank you very much. You've been wonderful. Have a great day.,Result
742555640001,43,agent,"Yes, you do, sir. Bye for now. Again, thank you for choosing Raven",
742555640001,44,customer,You're welcome. Thank you guys very much.,
742555640001,45,agent,"Okay, bye for now.",
742555640001,46,customer,Alright.,
742555640001,47,customer,Bye bye.,
742555640001,48,bot,issue auto wrapped up.,
742560220001,0,agent,"Hi, thank you for choosing Raven. This is {first_name:*****}.. How can I help you today?",
742560220001,1,customer,"Yes, hi. I had a I got a uh a call like about a week ago saying that if I call in, I can get a free three months of Superman",Reason for Contact
742560220001,2,customer,Superman and Thor to try it?,Reason for Contact
742560220001,3,customer,"Says Superman, Thor, I think, Spiderman Batman, and it was Thor I could charge for three months.",Reason for Contact
742560220001,4,agent,"Uh free MO uh free for Superman, am I right, ma'am, okay? Let me try that one. May I have your name, please?",
742560220001,5,customer,{first_name:*****}.,
742560220001,6,customer,{last_name:*****}.,
742560220001,7,agent,"Awesome. Thank you so much, sir, uh {first_name:*****}. your last name, please? Perfect, thank you so much for that. Let me check that one for you. Give me just a moment.",
742560220001,8,agent,"Alright, so upon checking here into my end, {first_name:*****}., that we don't have already the HDMI.",Resolution Process
742560220001,9,agent,seen here that you have uh the Superman eligible for $15 a month. Would that be fine to you.,Resolution Process
742560220001,10,customer,"No, they offered it for me to try it for three months for me being a a customer for over 10 years.",Reason for Contact
742560220001,11,agent,three months. For how many uh free of charge. Am I right?,Resolution Process
742560220001,12,customer,Cause I've been a customer for so many years.,Resolution Process
742560220001,13,agent,"Okay, okay. Let me check on the notes here.",
742560220001,14,agent,me just a moment.,
742560220001,15,agent,"Alright, I am trying to locate or check uh the informations the regarding with the Superman for three months, but I have seen here that we could give you the Spiderman for three months for uh no charge. Instead of it.",Resolution Process
742560220001,16,customer,Okay. Can I get Thor two to try Thor.,Resolution Process
742560220001,17,agent,"Because Superman, it was already um in a regular price, Superman, let me check. Now why and Thor is already in $7 in your.",Resolution Process
742560220001,18,customer,I don't get Thor,Resolution Process
742560220001,19,agent,"System in your account, Y, and I'm sorry, um you are not have or in your account. I have seen here that we are not reconnected yet the Thor for 0.",Resolution Process
742560220001,20,customer,"And that's on Batman with that too, right? The Spiderman Thor",Resolution Process
