,Unnamed: 0,conversation_id,utterance_id,speaker,text,saliency,rich_text,Extracted text
0,0,742555640001,0,agent,"May I know your name, please?",0,"May I know name , please ?",May I know your name please
1,1,742555640001,1,customer,"Uh yes, my name is {full_name:***** ****}.",0,"Uh yes , name { full_name : * * * * * * * * * } .",Uh yes my name is fullname 
2,2,742555640001,2,agent,", {first_name:*****}. How's your day going, {first_name:*****}",0,", { first_name : * * * * * } . How 's day going , { first_name : * * * * * }", firstname Hows your day going firstname
3,3,742555640001,3,customer,It's going good. Thank you for asking.,0,It 's going good . Thank asking .,Its going good Thank you for asking
4,4,742555640001,4,agent,That's great. So how can I help you?,0,That 's great . So I help ?,Thats great So how can I help you
5,5,742555640001,5,agent,mhm.,0,mhm .,mhm
6,6,742555640001,6,customer,"Uh yes, sir. I'm a new Raven member and I was a veteran. So I got Superman, but for the 1st three months, they gave me like Superman and some other channels for free.",1,"Uh yes , sir . I 'm new Raven member I veteran . So I got Superman , 1st three months , gave like Superman channels free .",Uh yes sir Im a new Raven member and I was a veteran So I got Superman but for the 1st three months they gave me like Superman and some other channels for free
7,7,742555640001,7,agent,mhm.,0,mhm .,mhm
8,8,742555640001,8,agent,"Yes, sir.",0,"Yes , sir .",Yes sir
9,9,742555640001,9,customer,"That has to be canceled by the 23rd. It had a reminder on my my television uh so I wanted to make sure. Yeah, I wanted to go ahead and cancel that today promo all the free promo channels are. However, you say that.",1,"That canceled 23rd . It reminder television uh I wanted make sure . Yeah , I wanted go ahead cancel today promo free promo channels . However , say .",That has to be canceled by the 23rd It had a reminder on my my television uh so I wanted to make sure Yeah I wanted to go ahead and cancel that today promo all the free promo channels are However you say that
10,10,742555640001,10,customer,Okay.,0,Okay .,Okay
11,11,742555640001,11,agent,"Okay, let okay, let me just assist you with that. Um.",0,"Okay , let okay , let assist . Um .",Okay let okay let me just assist you with that Um
12,12,742555640001,12,agent,So are you referring for the Spiderman Pack.,1,So referring Spiderman Pack .,So are you referring for the Spiderman Pack
13,13,742555640001,13,agent,", Superman, Spiderman and Raven Movie Pack.",1,", Superman , Spiderman Raven Movie Pack .", Superman Spiderman and Raven Movie Pack
14,14,742555640001,14,customer,I get I'm gonna get Superman anyway because I'm a veteran.,1,I get I 'm gon na get Superman anyway I 'm veteran .,I get Im gonna get Superman anyway because Im a veteran
15,15,742555640001,15,customer,That will be free.,1,That free .,That will be free
16,16,742555640001,16,agent,Okay.,0,Okay .,Okay
17,17,742555640001,17,customer,But all the rest I need to cancel.,1,But rest I need cancel .,But all the rest I need to cancel
18,18,742555640001,18,agent,"Okay, so I'll I'll just um cancel.",1,"Okay , I 'll I 'll um cancel .",Okay so Ill Ill just um cancel
19,19,742555640001,19,agent,The three remaining and keep the Superman,1,The three remaining keep Superman,The three remaining and keep the Superman
20,20,742555640001,20,customer,"Right, the Superman cause I have that Spiderman Package or whatever to the great deal. By the way, thank you.",1,"Right , Superman cause I Spiderman Package whatever great deal . By way , thank .",Right the Superman cause I have that Spiderman Package or whatever to the great deal By the way thank you
21,21,742555640001,21,customer,And.,0,And .,And
22,22,742555640001,22,agent,"Yeah, so I am just.",0,"Yeah , I .",Yeah so I am just
23,23,742555640001,23,customer,"Yep, and they.",0,"Yep , .",Yep and they
24,24,742555640001,24,agent,"I'm just gonna keep the Spiderman, mhm.",1,"I 'm gon na keep Spiderman , mhm .",Im just gonna keep the Spiderman mhm
25,25,742555640001,25,customer,"Right to cancel all the right, you can cancel the other, and they still have my Spiderman being free, correct?",1,"Right cancel right , cancel , still Spiderman free , correct ?",Right to cancel all the right you can cancel the other and they still have my Spiderman being free correct
26,26,742555640001,26,agent,"Yes, sir.",1,"Yes , sir .",Yes sir
27,27,742555640001,27,agent,Okay.,0,Okay .,Okay
28,28,742555640001,28,customer,"Oh, that's awesome, man. I appreciate it, and do do you have my email?",1,"Oh , 's awesome , man . I appreciate , email ?",Oh thats awesome man I appreciate it and do do you have my email
29,29,742555640001,29,agent,"Okay, hold on sir. Let me just process this one. 1st.",1,"Okay , hold sir . Let process one . 1st .",Okay hold on sir Let me just process this one 1st
30,30,742555640001,30,customer,Okay.,0,Okay .,Okay
31,31,742555640001,31,agent,So I can I can see.,0,So I I see .,So I can I can see
32,32,742555640001,32,agent,"Um that, okay? Hold on.",0,"Um , okay ? Hold .",Um that okay Hold on
33,33,742555640001,33,agent,me just process it real quick.,1,process real quick .,me just process it real quick
34,34,742555640001,34,agent,And do you asking me if do you have the email.,1,And asking email .,And do you asking me if do you have the email
35,35,742555640001,35,agent,mhm.,0,mhm .,mhm
36,36,742555640001,36,customer,"Right, and the the reason I'm asking is uh Thor and I know you guys have been good. Thor kinda burned me on all this stuff, and I just wanted like a notice that said I canceled.",1,"Right , reason I 'm asking uh Thor I know guys good . Thor kinda burned stuff , I wanted like notice said I canceled .",Right and the the reason Im asking is uh Thor and I know you guys have been good Thor kinda burned me on all this stuff and I just wanted like a notice that said I canceled
37,37,742555640001,37,agent,"mhm okay, sir. Hold on.",0,"mhm okay , sir . Hold .",mhm okay sir Hold on
